precip,snowfall,max_temp,min_temp,mean_temp,doy
0.0,7.62,-1.666666667,-22.22222222,-11.66666667,25
0.0,7.62,-1.666666667,-13.88888889,-7.777777778,26
0.0,7.62,-7.222222222,-16.11111111,-11.66666667,27
1.016,2.54,4.444444444,-4.444444444,0.0,29
10.668,12.7,-3.333333333,-13.33333333,-8.333333332999999,30
0.0,12.7,-12.22222222,-18.33333333,-15.0,31
0.0,10.16,4.444444444,-5.555555556,-0.5555555560000001,33
5.334,2.54,8.888888889,2.777777778,5.555555556,34
38.354,0.0,5.0,1.666666667,3.333333333,36
7.3660000000000005,0.0,2.777777778,0.0,1.111111111,37
0.254,0.0,7.777777778,-2.222222222,2.777777778,38
0.254,0.0,4.444444444,0.5555555560000001,2.222222222,39
0.0,0.0,3.888888889,-1.111111111,1.111111111,40
0.0,0.0,2.222222222,-5.0,-1.111111111,41
0.0,0.0,0.0,-6.666666667,-3.333333333,42
0.0,0.0,7.777777778,-7.777777778,0.0,43
0.0,0.0,7.777777778,-2.222222222,2.777777778,44
0.0,0.0,7.222222222,-1.666666667,2.777777778,46
0.0,0.0,2.777777778,-5.0,-1.111111111,47
0.0,0.0,12.77777778,-4.444444444,4.444444444,48
0.0,0.0,10.55555556,7.777777778,8.888888889,49
0.0,0.0,11.66666667,7.777777778,10.0,50
0.0,0.0,10.0,7.777777778,8.888888889,51
0.0,0.0,11.11111111,6.666666667,8.888888889,53
0.0,0.0,8.888888889,-0.5555555560000001,4.444444444,54
5.08,2.54,1.666666667,-0.5555555560000001,0.5555555560000001,55
3.556,5.08,-0.5555555560000001,-6.1111111110000005,-3.333333333,56
0.0,5.08,-3.888888889,-16.11111111,-10.0,58
0.0,5.08,-1.111111111,-10.0,-5.555555556,59
0.0,5.08,0.5555555560000001,-7.777777778,-3.333333333,60
0.508,5.08,-1.111111111,-6.1111111110000005,-3.333333333,61
0.254,5.08,-1.666666667,-8.333333332999999,-5.0,62
0.0,5.08,3.888888889,-12.22222222,-4.444444444,64
0.0,0.0,9.444444444,5.555555556,7.777777778,66
0.0,0.0,9.444444444,5.0,7.222222222,67
0.0,0.0,7.777777778,3.333333333,5.555555556,68
0.0,0.0,8.333333332999999,1.111111111,4.444444444,69
0.0,0.0,8.888888889,-2.777777778,3.333333333,70
0.0,0.0,6.1111111110000005,-3.333333333,1.111111111,71
0.0,0.0,3.888888889,-3.333333333,0.0,72
0.254,2.54,-1.666666667,-4.444444444,-3.333333333,74
0.0,0.0,0.0,-10.0,-5.0,77
0.0,0.0,1.666666667,-8.333333332999999,-3.333333333,78
0.0,0.0,2.777777778,-6.666666667,-2.222222222,79
0.0,0.0,6.1111111110000005,-3.333333333,1.111111111,80
0.0,0.0,4.444444444,-6.666666667,-1.111111111,82
0.0,0.0,4.444444444,-10.0,-2.777777778,83
0.0,0.0,4.444444444,-3.888888889,0.0,84
0.0,0.0,4.444444444,-3.333333333,0.5555555560000001,86
0.0,0.0,8.888888889,-0.5555555560000001,4.444444444,87
4.064,5.08,0.0,-5.555555556,-2.777777778,88
0.254,5.08,-2.222222222,-7.777777778,-5.0,89
0.254,5.08,-7.777777778,-12.22222222,-10.0,91
0.0,5.08,4.444444444,-13.33333333,-4.444444444,92
0.0,2.54,5.0,-0.5555555560000001,2.222222222,93
0.0,0.0,4.444444444,-6.1111111110000005,-1.111111111,95
0.0,0.0,3.333333333,-6.666666667,-1.666666667,96
0.0,0.0,3.888888889,-1.666666667,1.111111111,97
0.0,0.0,6.1111111110000005,-2.222222222,2.222222222,98
0.0,0.0,7.222222222,0.0,3.333333333,99
0.0,0.0,8.333333332999999,-4.444444444,2.222222222,100
0.0,0.0,-0.5555555560000001,-7.777777778,-4.444444444,102
0.0,0.0,-2.222222222,-11.66666667,-6.666666667,103
0.0,0.0,4.444444444,-8.333333332999999,-2.222222222,106
0.0,0.0,3.888888889,-6.666666667,-1.111111111,107
0.508,2.54,2.777777778,-5.555555556,-1.111111111,109
0.0,0.0,3.888888889,-6.666666667,-1.111111111,110
0.0,0.0,6.1111111110000005,-3.888888889,1.111111111,111
2.7939999999999996,2.54,-0.5555555560000001,-5.555555556,-3.333333333,113
0.508,5.08,1.666666667,-4.444444444,-1.111111111,114
0.0,0.0,12.77777778,0.5555555560000001,6.666666667,119
0.0,0.0,15.55555556,10.0,12.77777778,120
0.0,0.0,15.0,1.666666667,8.333333332999999,121
0.0,0.0,15.55555556,3.888888889,10.0,123
0.0,0.0,13.33333333,-1.111111111,6.1111111110000005,124
0.0,0.0,10.0,-1.666666667,4.444444444,125
6.35,0.0,10.55555556,3.333333333,6.666666667,129
1.016,0.0,7.777777778,3.333333333,5.555555556,134
2.54,0.0,9.444444444,2.222222222,5.555555556,135
1.524,0.0,14.44444444,1.666666667,7.777777778,136
3.048,0.0,11.11111111,2.777777778,6.666666667,137
5.587999999999999,0.0,6.1111111110000005,2.222222222,4.444444444,138
6.35,0.0,6.666666667,-1.111111111,2.777777778,139
0.0,0.0,11.11111111,1.111111111,6.1111111110000005,141
2.7939999999999996,0.0,3.333333333,-1.666666667,1.111111111,142
0.0,0.0,2.777777778,-2.777777778,0.0,143
0.0,0.0,13.33333333,-3.888888889,4.444444444,144
0.0,0.0,15.55555556,1.111111111,8.333333332999999,146
0.0,0.0,16.66666667,2.222222222,9.444444444,147
0.0,0.0,17.77777778,0.0,8.888888889,148
0.0,0.0,19.44444444,2.222222222,11.11111111,149
0.0,0.0,18.33333333,4.444444444,11.11111111,150
0.0,0.0,15.55555556,7.777777778,11.66666667,151
0.0,0.0,14.44444444,6.1111111110000005,10.0,152
0.0,0.0,12.22222222,3.333333333,7.777777778,153
0.508,0.0,8.333333332999999,2.222222222,5.555555556,154
11.175999999999998,0.0,10.55555556,1.666666667,6.1111111110000005,156
6.858,0.0,10.55555556,1.666666667,6.1111111110000005,157
7.62,0.0,17.22222222,6.1111111110000005,11.66666667,158
6.604,0.0,16.11111111,8.888888889,12.22222222,159
0.254,0.0,17.22222222,6.666666667,12.22222222,160
1.016,0.0,12.22222222,3.888888889,7.777777778,161
1.524,0.0,14.44444444,8.333333332999999,11.11111111,162
0.254,0.0,17.77777778,7.222222222,12.22222222,163
0.0,0.0,16.66666667,6.1111111110000005,11.11111111,164
0.0,0.0,19.44444444,5.0,12.22222222,167
0.0,0.0,20.0,4.444444444,12.22222222,168
0.0,0.0,17.22222222,2.222222222,10.0,169
0.0,0.0,18.33333333,2.777777778,10.55555556,170
0.0,0.0,18.33333333,3.333333333,11.11111111,171
0.0,0.0,18.33333333,5.0,11.66666667,172
0.0,0.0,15.55555556,4.444444444,10.0,173
1.778,0.0,13.33333333,7.222222222,10.0,174
4.8260000000000005,0.0,11.66666667,6.1111111110000005,8.888888889,175
2.286,0.0,13.33333333,5.0,8.888888889,176
2.54,0.0,15.0,7.777777778,11.11111111,177
1.524,0.0,7.777777778,4.444444444,6.1111111110000005,178
2.032,0.0,11.66666667,4.444444444,7.777777778,179
0.254,0.0,13.88888889,6.1111111110000005,10.0,180
0.0,0.0,18.33333333,7.222222222,12.77777778,182
0.0,0.0,20.0,7.777777778,13.88888889,183
0.0,0.0,17.22222222,4.444444444,11.11111111,184
6.604,0.0,10.55555556,6.666666667,8.888888889,185
0.0,0.0,14.44444444,4.444444444,9.444444444,186
0.0,0.0,16.66666667,3.333333333,10.0,187
0.0,0.0,14.44444444,6.666666667,10.55555556,188
37.084,0.0,10.55555556,6.666666667,8.333333332999999,189
23.368000000000002,0.0,12.77777778,8.333333332999999,10.55555556,190
2.7939999999999996,0.0,16.11111111,7.222222222,11.66666667,191
0.0,0.0,18.33333333,5.0,11.66666667,192
0.0,0.0,13.88888889,6.1111111110000005,10.0,193
0.0,0.0,16.11111111,4.444444444,10.0,195
6.604,0.0,16.66666667,7.222222222,11.66666667,196
56.896,0.0,14.44444444,8.333333332999999,11.11111111,197
12.954,0.0,11.11111111,6.666666667,8.888888889,198
0.0,0.0,16.66666667,5.0,10.55555556,200
3.048,0.0,13.33333333,7.222222222,10.0,202
14.985999999999999,0.0,9.444444444,5.555555556,7.222222222,203
0.0,0.0,16.11111111,4.444444444,10.0,204
0.0,0.0,16.66666667,3.333333333,10.0,205
0.0,0.0,14.44444444,5.0,9.444444444,206
0.0,0.0,15.55555556,6.666666667,11.11111111,207
0.508,0.0,15.55555556,3.333333333,9.444444444,208
1.016,0.0,16.66666667,7.777777778,12.22222222,209
0.0,0.0,16.66666667,7.777777778,12.22222222,210
0.0,0.0,16.66666667,8.333333332999999,12.22222222,211
0.0,0.0,22.77777778,12.77777778,17.77777778,213
1.27,0.0,18.33333333,11.11111111,14.44444444,214
1.27,0.0,17.22222222,10.0,13.33333333,215
